epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1273.5,1.2871,0.77582,0.94651,0.79296,0.37533,0.4319,0.25138,1.35946,0.79733,0.94464,0.007162,0.007162,0.007162
45,1301.21,1.29768,0.78781,0.94746,0.79438,0.37128,0.43028,0.25138,1.3676,0.80089,0.9477,0.007096,0.007096,0.007096
46,1329.14,1.28705,0.76642,0.94706,0.78873,0.37283,0.42831,0.24699,1.36391,0.80389,0.94731,0.00703,0.00703,0.00703
47,1357.21,1.30293,0.7864,0.95121,0.80342,0.37056,0.43241,0.24995,1.35737,0.79715,0.94412,0.006964,0.006964,0.006964
48,1387.03,1.28252,0.77493,0.94343,0.7936,0.37734,0.43366,0.25308,1.36775,0.79859,0.94356,0.006898,0.006898,0.006898
49,1414.99,1.29169,0.77137,0.9448,0.78692,0.37298,0.43018,0.24913,1.3711,0.80158,0.9463,0.006832,0.006832,0.006832
50,1444.57,1.28273,0.76443,0.94402,0.79775,0.37307,0.4348,0.25311,1.35758,0.79307,0.94326,0.006766,0.006766,0.006766
51,1472.16,1.27033,0.765,0.94329,0.79203,0.37296,0.43173,0.25153,1.35537,0.79064,0.9426,0.0067,0.0067,0.0067
52,1500.3,1.27657,0.76739,0.94177,0.78805,0.37097,0.42869,0.25191,1.35943,0.79636,0.94367,0.006634,0.006634,0.006634
53,1529.92,1.27884,0.76501,0.94469,0.80572,0.37427,0.43616,0.25652,1.35397,0.78528,0.94182,0.006568,0.006568,0.006568
54,1557.77,1.26945,0.75811,0.94614,0.80695,0.3722,0.43727,0.2548,1.35703,0.78965,0.94248,0.006502,0.006502,0.006502
55,1585.42,1.29137,0.77545,0.94253,0.79197,0.36594,0.42368,0.24114,1.36177,0.79116,0.94391,0.006436,0.006436,0.006436
56,1613.43,1.26862,0.7566,0.94231,0.79791,0.37862,0.43814,0.25241,1.35343,0.78564,0.9426,0.00637,0.00637,0.00637
57,1642.95,1.26384,0.75254,0.94168,0.80838,0.3725,0.43678,0.25417,1.35146,0.78289,0.94342,0.006304,0.006304,0.006304
58,1670.91,1.2625,0.75106,0.9406,0.79364,0.38026,0.43745,0.25575,1.35273,0.7794,0.94234,0.006238,0.006238,0.006238
59,1698.54,1.25817,0.75015,0.93807,0.80215,0.38054,0.43859,0.25254,1.35093,0.78138,0.94116,0.006172,0.006172,0.006172
60,1726.55,1.26479,0.74885,0.94005,0.79822,0.37822,0.43785,0.25475,1.35567,0.78198,0.94186,0.006106,0.006106,0.006106
61,1754.07,1.2772,0.76465,0.94149,0.79052,0.38035,0.43703,0.2509,1.34911,0.77813,0.94065,0.00604,0.00604,0.00604
62,1781.93,1.27547,0.76123,0.94123,0.80566,0.37789,0.44098,0.2583,1.33859,0.77383,0.93809,0.005974,0.005974,0.005974
63,1809.8,1.26479,0.74795,0.94116,0.80069,0.37919,0.43786,0.25739,1.34808,0.77502,0.94076,0.005908,0.005908,0.005908
64,1839.31,1.26218,0.74591,0.94019,0.79758,0.38555,0.44126,0.25905,1.33905,0.77008,0.93893,0.005842,0.005842,0.005842
65,1867.28,1.26728,0.74557,0.94138,0.65591,0.39226,0.4434,0.25984,1.33949,0.77642,0.93846,0.005776,0.005776,0.005776
66,1894.98,1.27086,0.7468,0.94013,0.70185,0.39653,0.45814,0.2603,1.342,0.77304,0.93855,0.00571,0.00571,0.00571
67,1924.36,1.27153,0.75125,0.93723,0.81435,0.37701,0.44021,0.25935,1.33903,0.77096,0.93763,0.005644,0.005644,0.005644
68,1954.1,1.26607,0.75023,0.93731,0.6458,0.4019,0.44577,0.26231,1.33732,0.77141,0.93787,0.005578,0.005578,0.005578
69,1983.44,1.25853,0.74208,0.93663,0.60919,0.38228,0.44426,0.2642,1.3339,0.76631,0.93574,0.005512,0.005512,0.005512
70,2011.04,1.24012,0.73224,0.93579,0.65754,0.39488,0.44654,0.26407,1.33906,0.77176,0.93683,0.005446,0.005446,0.005446
71,2038.68,1.2793,0.7455,0.93965,0.8063,0.38249,0.44977,0.26468,1.34323,0.76993,0.93816,0.00538,0.00538,0.00538
72,2066.28,1.26247,0.74403,0.94228,0.81422,0.37886,0.4437,0.26264,1.33823,0.76865,0.93709,0.005314,0.005314,0.005314
73,2093.88,1.26266,0.74272,0.9355,0.80569,0.38395,0.44641,0.26308,1.33332,0.76447,0.93661,0.005248,0.005248,0.005248
74,2121.47,1.26174,0.73964,0.93788,0.8066,0.38249,0.44455,0.2595,1.33751,0.76714,0.93743,0.005182,0.005182,0.005182
75,2151.08,1.25785,0.73528,0.93732,0.81329,0.38151,0.44676,0.26391,1.33723,0.76255,0.93633,0.005116,0.005116,0.005116
76,2178.86,1.25242,0.74081,0.93757,0.80042,0.38354,0.44246,0.26039,1.33757,0.76139,0.93651,0.00505,0.00505,0.00505
77,2206.36,1.25007,0.73263,0.93835,0.81393,0.37899,0.44499,0.26266,1.33661,0.76159,0.93573,0.004984,0.004984,0.004984
78,2234.37,1.24999,0.7221,0.93322,0.66913,0.39373,0.45106,0.26599,1.33282,0.76105,0.93532,0.004918,0.004918,0.004918
79,2264.09,1.26119,0.73474,0.93464,0.72485,0.41062,0.45673,0.27002,1.33326,0.76016,0.93507,0.004852,0.004852,0.004852
80,2294.07,1.23872,0.72119,0.93347,0.69208,0.42409,0.46769,0.27318,1.333,0.75893,0.93507,0.004786,0.004786,0.004786
81,2323.93,1.24909,0.7221,0.93386,0.71882,0.41518,0.46675,0.27398,1.33023,0.75709,0.93449,0.00472,0.00472,0.00472
82,2353.88,1.25422,0.73136,0.93075,0.72311,0.41194,0.46867,0.27444,1.32955,0.75551,0.935,0.004654,0.004654,0.004654
83,2383.42,1.23706,0.71929,0.93333,0.66933,0.39718,0.45585,0.27129,1.33091,0.75419,0.93487,0.004588,0.004588,0.004588
84,2414.07,1.23612,0.71614,0.93001,0.70176,0.42683,0.47349,0.27472,1.332,0.75805,0.93481,0.004522,0.004522,0.004522
85,2443.39,1.23036,0.71,0.9295,0.8114,0.38744,0.45714,0.27387,1.32934,0.75616,0.93384,0.004456,0.004456,0.004456
86,2471.14,1.24336,0.72272,0.93004,0.80805,0.38629,0.45249,0.26991,1.32716,0.75535,0.93393,0.00439,0.00439,0.00439
87,2498.72,1.2376,0.71828,0.93137,0.768,0.4127,0.46611,0.27521,1.32869,0.75581,0.93438,0.004324,0.004324,0.004324
88,2526.26,1.22491,0.7197,0.92873,0.75824,0.421,0.46625,0.27693,1.32798,0.75382,0.93476,0.004258,0.004258,0.004258
89,2555.69,1.23495,0.72039,0.93097,0.81497,0.38552,0.45733,0.27311,1.33105,0.75587,0.93518,0.004192,0.004192,0.004192
90,2585.42,1.24106,0.71541,0.92654,0.80647,0.388,0.45682,0.27488,1.32662,0.7527,0.93388,0.004126,0.004126,0.004126
91,2614.87,1.2373,0.71693,0.93051,0.81523,0.38545,0.4579,0.27547,1.32594,0.7508,0.93375,0.00406,0.00406,0.00406
92,2642.4,1.23166,0.71159,0.92472,0.81206,0.38739,0.45877,0.27498,1.32684,0.7502,0.93315,0.003994,0.003994,0.003994
93,2670,1.21884,0.71128,0.92665,0.81096,0.39092,0.45905,0.27479,1.32913,0.75076,0.93319,0.003928,0.003928,0.003928
94,2697.65,1.2335,0.71366,0.92846,0.80989,0.39134,0.45961,0.27491,1.33002,0.75116,0.93388,0.003862,0.003862,0.003862
95,2725.36,1.21702,0.70596,0.92661,0.73867,0.41832,0.46027,0.27563,1.3286,0.74939,0.9333,0.003796,0.003796,0.003796
96,2755.2,1.24403,0.71696,0.92923,0.81262,0.39017,0.4593,0.27471,1.32851,0.75011,0.93356,0.00373,0.00373,0.00373
97,2783.01,1.23085,0.70573,0.9267,0.82097,0.38663,0.45255,0.27014,1.32841,0.74903,0.93326,0.003664,0.003664,0.003664
98,2810.81,1.21562,0.69388,0.92199,0.68175,0.41738,0.46387,0.27498,1.32863,0.74947,0.93304,0.003598,0.003598,0.003598
99,2840.33,1.2126,0.69605,0.92338,0.81764,0.38645,0.45434,0.27059,1.32839,0.74853,0.93315,0.003532,0.003532,0.003532
100,2867.86,1.21956,0.69927,0.92785,0.62575,0.42203,0.4599,0.27388,1.32749,0.74703,0.93281,0.003466,0.003466,0.003466
101,2895.53,1.2052,0.69109,0.92564,0.58659,0.43055,0.46467,0.27621,1.32837,0.7464,0.93306,0.0034,0.0034,0.0034
102,2923.05,1.21075,0.70134,0.92702,0.76158,0.41986,0.46735,0.27739,1.32741,0.74636,0.93283,0.003334,0.003334,0.003334
103,2952.72,1.21846,0.69961,0.92673,0.66018,0.42059,0.46532,0.27734,1.32581,0.74508,0.93228,0.003268,0.003268,0.003268
104,2980.84,1.22883,0.70442,0.9219,0.6738,0.42537,0.46637,0.27771,1.32492,0.74454,0.93218,0.003202,0.003202,0.003202
105,3010.43,1.23734,0.70643,0.92604,0.73524,0.40597,0.46663,0.27828,1.32416,0.74443,0.93202,0.003136,0.003136,0.003136
106,3038.08,1.2281,0.69992,0.92348,0.65664,0.41778,0.46462,0.27792,1.32344,0.74424,0.93179,0.00307,0.00307,0.00307
107,3065.75,1.22819,0.70191,0.92575,0.60742,0.42757,0.46057,0.27568,1.32312,0.7439,0.93186,0.003004,0.003004,0.003004
108,3093.48,1.2187,0.69754,0.92414,0.67919,0.41138,0.46109,0.27626,1.3236,0.74319,0.93191,0.002938,0.002938,0.002938
109,3122.98,1.22291,0.69638,0.92594,0.67827,0.41074,0.45875,0.27436,1.32406,0.74309,0.93231,0.002872,0.002872,0.002872
110,3150.61,1.20384,0.69423,0.92618,0.67999,0.41125,0.45915,0.27446,1.32498,0.7429,0.93241,0.002806,0.002806,0.002806
111,3178.11,1.2157,0.69461,0.92033,0.67943,0.41053,0.46034,0.27457,1.32643,0.74289,0.93263,0.00274,0.00274,0.00274
112,3207.34,1.20376,0.69147,0.92365,0.62263,0.42238,0.46198,0.27458,1.32578,0.74256,0.93246,0.002674,0.002674,0.002674
113,3235.07,1.2029,0.68417,0.92117,0.62544,0.4227,0.46166,0.27502,1.32555,0.74221,0.93242,0.002608,0.002608,0.002608
114,3262.87,1.21219,0.68817,0.92427,0.72737,0.4065,0.46731,0.27774,1.3253,0.74205,0.93244,0.002542,0.002542,0.002542
115,3292.57,1.21813,0.69007,0.91956,0.64946,0.43427,0.47486,0.27922,1.32511,0.74243,0.93243,0.002476,0.002476,0.002476
116,3322.19,1.20243,0.68615,0.91775,0.6732,0.42841,0.47475,0.27903,1.32528,0.74227,0.93249,0.00241,0.00241,0.00241
117,3349.71,1.19909,0.68336,0.91923,0.68931,0.43431,0.48096,0.2804,1.32615,0.74207,0.93256,0.002344,0.002344,0.002344
118,3377.36,1.21666,0.69251,0.92153,0.71134,0.43525,0.48074,0.28045,1.32584,0.74164,0.9326,0.002278,0.002278,0.002278
119,3404.93,1.19885,0.67815,0.91822,0.70514,0.4236,0.47219,0.27793,1.32579,0.74133,0.93251,0.002212,0.002212,0.002212
120,3432.75,1.20731,0.68652,0.92362,0.70264,0.43466,0.48047,0.28143,1.32463,0.74063,0.93231,0.002146,0.002146,0.002146
121,3462.49,1.20293,0.68452,0.92127,0.7165,0.43171,0.48277,0.28243,1.32426,0.74079,0.93221,0.00208,0.00208,0.00208
122,3490.2,1.20752,0.68195,0.92076,0.73306,0.42831,0.48526,0.28341,1.32463,0.74034,0.93219,0.002014,0.002014,0.002014
123,3518.1,1.21423,0.68559,0.92581,0.73644,0.42789,0.48433,0.283,1.3247,0.74046,0.93216,0.001948,0.001948,0.001948
124,3547.54,1.20182,0.67751,0.91997,0.74405,0.4254,0.4843,0.28257,1.32449,0.74067,0.93213,0.001882,0.001882,0.001882
125,3575.37,1.20099,0.67489,0.91738,0.72344,0.43177,0.48464,0.28281,1.32463,0.74076,0.93208,0.001816,0.001816,0.001816
126,3603.21,1.17499,0.66604,0.91855,0.71525,0.43526,0.48517,0.2832,1.3242,0.74078,0.93201,0.00175,0.00175,0.00175
127,3631.03,1.1959,0.67861,0.92254,0.73914,0.41827,0.47478,0.27947,1.32459,0.74054,0.93204,0.001684,0.001684,0.001684
128,3658.89,1.22137,0.6905,0.91974,0.76552,0.41927,0.47579,0.27991,1.3244,0.74037,0.93192,0.001618,0.001618,0.001618
129,3688.6,1.20814,0.68513,0.9175,0.68087,0.4295,0.47315,0.27939,1.3247,0.74024,0.93193,0.001552,0.001552,0.001552
130,3718.29,1.21607,0.68568,0.92071,0.7853,0.4201,0.47602,0.27774,1.32488,0.74013,0.93196,0.001486,0.001486,0.001486
131,3747.88,1.19612,0.67251,0.91793,0.68626,0.42899,0.47385,0.27737,1.32498,0.73998,0.93196,0.00142,0.00142,0.00142
132,3777.21,1.19617,0.67173,0.91932,0.68642,0.42931,0.47466,0.27794,1.32514,0.73998,0.93205,0.001354,0.001354,0.001354
133,3804.93,1.1978,0.67077,0.91869,0.6855,0.43656,0.47653,0.27864,1.32515,0.73976,0.93205,0.001288,0.001288,0.001288
134,3832.5,1.1836,0.66681,0.92095,0.68451,0.43821,0.47663,0.27855,1.32505,0.73934,0.93205,0.001222,0.001222,0.001222
135,3860.21,1.19179,0.66975,0.91882,0.68611,0.43916,0.47688,0.27853,1.32518,0.73959,0.93201,0.001156,0.001156,0.001156
136,3887.98,1.19513,0.67462,0.91943,0.6885,0.43867,0.47677,0.27827,1.32532,0.73962,0.93202,0.00109,0.00109,0.00109
137,3917.18,1.19596,0.67138,0.91979,0.68873,0.42583,0.4696,0.27977,1.32496,0.7398,0.93189,0.001024,0.001024,0.001024
138,3944.8,1.19039,0.66583,0.9178,0.68696,0.42622,0.4695,0.27743,1.32497,0.7398,0.9318,0.000958,0.000958,0.000958
139,3972.69,1.16883,0.65425,0.91221,0.68571,0.42723,0.46936,0.27734,1.32496,0.73936,0.93179,0.000892,0.000892,0.000892
140,4000.34,1.18173,0.66431,0.91698,0.69483,0.43883,0.47832,0.27881,1.32513,0.73922,0.93181,0.000826,0.000826,0.000826
141,4033.55,1.19545,0.66799,0.92353,0.69566,0.43865,0.47818,0.27876,1.32539,0.73938,0.93188,0.00076,0.00076,0.00076
142,4061.74,1.18405,0.65842,0.91954,0.68361,0.42868,0.46954,0.27733,1.32539,0.73955,0.93189,0.000694,0.000694,0.000694
143,4089.69,1.17386,0.64943,0.91515,0.69808,0.43815,0.47819,0.27839,1.32544,0.73911,0.93182,0.000628,0.000628,0.000628
144,4117.96,1.16324,0.64099,0.91452,0.70047,0.43755,0.47849,0.27846,1.32576,0.73926,0.93185,0.000562,0.000562,0.000562
145,4146.03,1.17259,0.64666,0.91368,0.71319,0.44535,0.48557,0.28173,1.3256,0.73929,0.93187,0.000496,0.000496,0.000496
146,4174.19,1.1623,0.64209,0.91333,0.70608,0.43583,0.47783,0.27841,1.32564,0.73911,0.93184,0.00043,0.00043,0.00043
147,4200.5,1.15988,0.63244,0.9136,0.71796,0.44453,0.48548,0.28141,1.32597,0.73899,0.93187,0.000364,0.000364,0.000364
148,4226.84,1.1621,0.6419,0.91521,0.71938,0.44423,0.48529,0.28131,1.3262,0.73903,0.93193,0.000298,0.000298,0.000298
149,4252.97,1.15878,0.63446,0.91195,0.71507,0.43387,0.47743,0.27799,1.32623,0.73903,0.93196,0.000232,0.000232,0.000232
150,4278.96,1.15042,0.63236,0.91141,0.71614,0.43338,0.47771,0.27798,1.32629,0.73914,0.93193,0.000166,0.000166,0.000166
